30,unemployed,married,primary,1787,no,no,unknown,no
33,services,married,secondary,4789,yes,yes,failure,no
35,management,single,tertiary,1350,yes,no,failure,no
30,management,married,tertiary,1476,yes,yes,unknown,no
59,blue-collar,married,secondary,0,yes,no,unknown,no
35,management,single,tertiary,747,no,no,failure,no
36,self-employed,married,tertiary,307,yes,no,other,no
39,technician,married,secondary,147,yes,no,unknown,no
41,entrepreneur,married,tertiary,221,yes,no,unknown,no
43,services,married,primary,-88,yes,yes,failure,no
39,services,married,secondary,9374,yes,no,unknown,no
43,admin.,married,secondary,264,yes,no,unknown,no
36,technician,married,tertiary,1109,no,no,unknown,no
20,student,single,secondary,502,no,no,unknown,yes
31,blue-collar,married,secondary,360,yes,yes,failure,no
40,management,married,tertiary,194,no,yes,unknown,no
56,technician,married,secondary,4073,no,no,unknown,no
37,admin.,single,tertiary,2317,yes,no,failure,no
25,blue-collar,single,primary,-221,yes,no,unknown,no
31,services,married,secondary,132,no,no,other,no
38,management,divorced,unknown,0,yes,no,unknown,no
42,management,divorced,tertiary,16,no,no,unknown,no
44,services,single,secondary,106,no,no,unknown,no
44,entrepreneur,married,secondary,93,no,no,unknown,no
26,housemaid,married,tertiary,543,no,no,unknown,no
41,management,married,tertiary,5883,no,no,unknown,no
55,blue-collar,married,primary,627,yes,no,unknown,no
67,retired,married,unknown,696,no,no,failure,no
56,self-employed,married,secondary,784,no,yes,unknown,no
53,admin.,married,secondary,105,no,yes,unknown,no
68,retired,divorced,secondary,4189,no,no,unknown,yes
31,technician,married,secondary,171,no,no,unknown,no
59,management,married,secondary,42,no,no,unknown,no
32,management,single,tertiary,2536,yes,no,unknown,yes
49,technician,married,tertiary,1235,no,no,unknown,yes
42,admin.,divorced,secondary,1811,yes,no,unknown,no
78,retired,divorced,primary,229,no,no,unknown,yes
32,blue-collar,married,secondary,2089,yes,no,unknown,yes
33,management,married,secondary,3935,yes,no,failure,yes
23,services,single,tertiary,363,yes,no,unknown,no
38,management,single,tertiary,11971,yes,no,failure,no
36,management,single,tertiary,553,no,no,unknown,no
52,blue-collar,married,secondary,1117,yes,no,unknown,no
32,technician,married,tertiary,396,yes,no,unknown,no
32,technician,single,tertiary,2204,yes,no,unknown,no
34,management,single,tertiary,872,yes,no,unknown,no
55,blue-collar,married,primary,145,no,no,other,no
26,blue-collar,married,primary,0,yes,no,unknown,no
32,entrepreneur,single,primary,-849,yes,yes,unknown,no
61,admin.,married,unknown,4629,yes,no,success,yes
45,blue-collar,divorced,primary,844,no,no,unknown,yes
37,technician,single,secondary,228,yes,no,unknown,no
38,technician,single,secondary,50,no,no,unknown,no
34,technician,married,tertiary,1539,yes,no,other,yes
53,blue-collar,married,secondary,2231,yes,no,unknown,no
48,admin.,married,secondary,3064,yes,no,unknown,no
57,management,married,secondary,82,no,yes,unknown,no
33,self-employed,single,tertiary,2155,no,no,unknown,no
36,retired,single,secondary,101,yes,yes,unknown,no
54,technician,divorced,secondary,784,yes,yes,unknown,no
41,blue-collar,married,primary,-516,no,yes,unknown,no
63,retired,married,secondary,415,yes,no,unknown,no
48,management,married,tertiary,5887,no,no,unknown,no
48,services,married,secondary,1355,no,no,unknown,no
56,admin.,married,secondary,16873,no,no,unknown,no
51,blue-collar,divorced,secondary,203,yes,no,failure,no
31,services,married,secondary,338,yes,no,unknown,no
29,technician,married,secondary,444,yes,no,unknown,no
41,management,married,secondary,0,no,yes,unknown,no
32,technician,single,tertiary,360,no,no,unknown,no
37,management,married,tertiary,0,no,no,success,yes
42,entrepreneur,divorced,tertiary,2,yes,no,unknown,no
31,management,single,tertiary,6248,yes,no,unknown,no
41,services,married,tertiary,412,yes,no,unknown,no
56,retired,married,secondary,344,yes,no,unknown,no
54,management,divorced,tertiary,3222,no,no,unknown,no
41,blue-collar,divorced,secondary,174,yes,no,other,no
40,technician,single,secondary,591,no,yes,unknown,no
50,blue-collar,divorced,primary,388,no,no,unknown,no
40,unemployed,married,secondary,219,yes,no,failure,no
27,admin.,divorced,secondary,451,yes,no,unknown,yes
60,retired,married,primary,5,no,no,unknown,no
28,admin.,single,secondary,177,yes,yes,unknown,no
52,services,married,secondary,657,no,no,failure,yes
37,management,married,tertiary,1315,no,no,unknown,yes
51,blue-collar,married,primary,1466,yes,no,unknown,no
41,technician,single,secondary,879,no,yes,unknown,no
35,blue-collar,single,primary,293,yes,no,unknown,no
38,admin.,married,secondary,424,yes,no,unknown,no
34,blue-collar,married,secondary,1831,yes,no,unknown,no
39,blue-collar,married,primary,111,no,no,unknown,no
34,blue-collar,married,primary,455,yes,no,unknown,no
27,services,single,secondary,-195,yes,no,unknown,yes
32,management,single,tertiary,3616,no,no,unknown,no
57,blue-collar,married,secondary,14093,no,no,unknown,no
41,unknown,single,tertiary,1567,no,no,unknown,no
41,admin.,married,tertiary,5426,yes,no,unknown,no
30,admin.,single,tertiary,261,no,no,failure,no
36,blue-collar,divorced,secondary,2843,no,no,success,no
31,unemployed,single,primary,406,no,no,unknown,yes
36,blue-collar,married,secondary,0,yes,no,unknown,no
38,management,single,tertiary,493,yes,no,failure,no
49,technician,married,secondary,5996,no,no,unknown,no
57,services,single,primary,3777,yes,no,unknown,no
34,management,single,secondary,524,no,no,unknown,no
32,management,single,tertiary,574,yes,no,failure,no
37,blue-collar,married,secondary,427,yes,yes,unknown,no
33,self-employed,married,tertiary,483,yes,no,unknown,no
56,unemployed,married,primary,3391,no,no,unknown,yes
27,housemaid,married,primary,0,yes,no,unknown,no
21,student,single,secondary,2488,no,no,success,yes
58,management,married,tertiary,1517,yes,no,unknown,no
32,self-employed,married,secondary,217,yes,yes,unknown,no
33,blue-collar,single,secondary,22,no,no,failure,no
25,student,single,secondary,331,no,no,unknown,yes
25,technician,single,secondary,505,no,yes,unknown,yes
30,services,married,secondary,1808,yes,no,unknown,no
22,admin.,single,secondary,4111,no,yes,unknown,no
39,blue-collar,married,primary,52,no,no,unknown,no
46,management,divorced,tertiary,25,no,no,unknown,no
31,admin.,divorced,secondary,1890,yes,no,unknown,no
45,blue-collar,married,primary,419,no,no,unknown,no
32,technician,married,secondary,2693,yes,no,unknown,no
36,blue-collar,married,secondary,-231,no,yes,unknown,no
51,management,single,tertiary,-55,yes,no,failure,no
34,self-employed,single,tertiary,462,no,no,unknown,yes
24,unemployed,single,secondary,119,no,no,unknown,no
45,technician,single,secondary,586,no,yes,unknown,no
32,blue-collar,single,secondary,228,no,no,failure,no
77,retired,divorced,tertiary,4659,no,no,unknown,yes
41,blue-collar,married,primary,168,yes,no,unknown,no
37,blue-collar,married,primary,0,yes,no,unknown,no
43,blue-collar,married,unknown,-715,yes,no,unknown,no
48,admin.,married,unknown,0,yes,no,failure,no
27,technician,single,secondary,769,yes,no,unknown,no
33,management,single,tertiary,0,no,no,unknown,no
29,admin.,single,secondary,428,yes,yes,failure,no
34,management,single,tertiary,0,no,no,unknown,no
52,management,married,tertiary,-970,yes,no,unknown,yes
60,management,married,unknown,6313,no,no,unknown,no
32,management,divorced,tertiary,948,no,no,unknown,no
32,management,single,tertiary,0,yes,no,unknown,no
56,services,divorced,unknown,1877,yes,no,unknown,no
31,management,single,tertiary,874,yes,no,unknown,no
42,admin.,married,secondary,323,yes,yes,unknown,no
35,management,married,tertiary,106,no,yes,unknown,no
56,retired,married,primary,1906,no,yes,unknown,no
48,technician,married,secondary,1152,yes,no,unknown,no
46,admin.,married,secondary,179,yes,no,other,no
37,technician,single,unknown,391,yes,no,unknown,no
41,entrepreneur,married,unknown,89,yes,no,unknown,no
36,management,single,tertiary,442,yes,yes,unknown,no
45,unemployed,divorced,primary,-249,yes,yes,unknown,no
55,entrepreneur,married,secondary,8104,no,no,unknown,no
39,technician,married,secondary,501,no,no,unknown,no
35,technician,divorced,secondary,308,no,no,unknown,no
55,admin.,married,secondary,602,no,no,success,yes
55,technician,married,secondary,273,yes,no,failure,no
27,self-employed,single,secondary,50,no,no,unknown,no
34,technician,married,secondary,1641,yes,no,unknown,no
34,blue-collar,married,tertiary,20,no,no,unknown,no
25,admin.,single,secondary,4590,yes,no,unknown,no
41,admin.,single,secondary,-256,no,yes,unknown,no
43,services,married,secondary,978,yes,yes,unknown,no
28,management,single,tertiary,80,no,no,failure,yes
31,admin.,single,secondary,2104,yes,no,unknown,no
78,housemaid,married,secondary,499,no,no,unknown,no
45,blue-collar,divorced,secondary,1269,yes,no,unknown,no
48,technician,married,tertiary,310,no,no,unknown,no
32,blue-collar,single,secondary,1143,yes,yes,unknown,no
42,technician,married,secondary,2980,no,no,unknown,no
37,management,single,tertiary,37,no,no,unknown,no
40,admin.,single,secondary,462,yes,yes,other,no
32,admin.,married,secondary,1031,yes,no,unknown,no
42,management,married,tertiary,9009,no,no,unknown,no
43,admin.,married,secondary,-465,yes,yes,unknown,no
44,admin.,married,secondary,5181,yes,yes,unknown,no
37,admin.,married,secondary,176,yes,no,failure,no
37,unknown,married,unknown,1699,no,no,unknown,no
37,admin.,married,tertiary,0,yes,no,failure,no
28,technician,single,tertiary,172,yes,yes,unknown,no
32,services,single,secondary,0,no,yes,unknown,no
34,admin.,single,secondary,6979,yes,no,unknown,no
40,admin.,divorced,secondary,6,no,no,unknown,no
34,services,married,secondary,-62,yes,no,unknown,no
34,self-employed,married,tertiary,1972,yes,no,unknown,no
34,admin.,married,tertiary,899,yes,no,success,no
37,services,single,secondary,21,yes,no,other,no
36,technician,married,secondary,23,yes,no,failure,no
56,retired,married,secondary,-1206,yes,no,unknown,yes
49,blue-collar,married,primary,0,yes,yes,unknown,no
33,self-employed,married,secondary,215,yes,no,unknown,no
30,management,single,tertiary,1372,no,no,unknown,no
36,services,married,secondary,1981,no,no,unknown,no
23,student,single,secondary,9216,no,no,unknown,no
57,retired,divorced,secondary,39,yes,no,unknown,no
27,blue-collar,single,secondary,5563,yes,no,unknown,no
38,services,married,secondary,1,no,yes,unknown,no
42,technician,married,tertiary,782,no,no,unknown,no
75,retired,married,secondary,3771,no,no,success,yes
34,technician,single,tertiary,992,yes,no,success,no
48,technician,married,secondary,1526,no,no,unknown,no
35,technician,single,tertiary,2658,yes,no,failure,yes
39,management,divorced,tertiary,1315,yes,no,failure,no
29,blue-collar,single,tertiary,455,no,no,unknown,yes
45,technician,single,tertiary,0,yes,no,unknown,no
42,technician,married,secondary,2030,yes,yes,unknown,no
29,technician,married,secondary,1599,yes,no,failure,no
38,services,single,secondary,-196,yes,no,failure,no
